Source,Target,Type,Id,Label,timeset,Weight
0,413,Directed,392,,,1
0,414,Directed,393,,,4
0,415,Directed,394,,,2
0,416,Directed,395,,,3
0,417,Directed,396,,,2
0,418,Directed,397,,,6
0,419,Directed,398,,,1
0,420,Directed,399,,,1
0,421,Directed,400,,,1
0,422,Directed,401,,,10
0,423,Directed,402,,,3
0,424,Directed,403,,,8
0,425,Directed,404,,,6
0,426,Directed,405,,,9
0,427,Directed,406,,,3
0,428,Directed,407,,,3
0,429,Directed,408,,,18
0,430,Directed,409,,,1
0,433,Directed,410,,,1
0,434,Directed,411,,,1
0,436,Directed,412,,,1
0,444,Directed,413,,,3
0,445,Directed,414,,,7
0,446,Directed,415,,,2
0,447,Directed,416,,,9
0,448,Directed,417,,,3
0,449,Directed,418,,,4
0,450,Directed,419,,,3
0,454,Directed,420,,,1
0,455,Directed,421,,,1
0,456,Directed,422,,,1
0,457,Directed,423,,,4
0,458,Directed,424,,,1
0,459,Directed,425,,,3
0,460,Directed,426,,,5
0,461,Directed,427,,,3
0,462,Directed,428,,,3
0,463,Directed,429,,,4
0,464,Directed,430,,,3
0,465,Directed,431,,,2
0,466,Directed,432,,,2
0,467,Directed,433,,,2
0,468,Directed,434,,,1
0,470,Directed,435,,,1
0,471,Directed,436,,,3
0,472,Directed,437,,,4
0,473,Directed,438,,,1
0,474,Directed,439,,,1
0,475,Directed,440,,,1
0,476,Directed,441,,,1
0,477,Directed,442,,,1
0,483,Directed,443,,,2
0,484,Directed,444,,,5
0,485,Directed,445,,,1
0,486,Directed,446,,,1
0,487,Directed,447,,,2
0,488,Directed,448,,,1
0,489,Directed,449,,,6
0,490,Directed,450,,,2
0,491,Directed,451,,,7
0,492,Directed,452,,,2
0,493,Directed,453,,,2
0,494,Directed,454,,,1
0,495,Directed,455,,,1
0,496,Directed,456,,,1
0,497,Directed,457,,,1
0,498,Directed,458,,,1
0,499,Directed,459,,,1
0,500,Directed,460,,,1
0,501,Directed,461,,,1
0,502,Directed,462,,,2
0,503,Directed,463,,,2
0,504,Directed,464,,,2
0,505,Directed,465,,,1
0,506,Directed,466,,,1
0,507,Directed,467,,,1
0,508,Directed,468,,,2
0,509,Directed,469,,,1
0,510,Directed,470,,,1
0,511,Directed,471,,,2
0,513,Directed,472,,,4
0,514,Directed,473,,,4
0,515,Directed,474,,,4
0,516,Directed,475,,,10
0,517,Directed,476,,,4
